Temporalid,Temporalid 3,Mn,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb
FORMATIVO MEDIO,1000 to 900 ,346,9743,35,20,15,126,27,34,181,19
FORMATIVO MEDIO,1000 to 900 ,361,9262,59,20,20,169,4,48,210,44
FORMATIVO MEDIO,1000 to 900 ,448,9860,47,21,12,132,126,20,147,14
FORMATIVO MEDIO,1000 to 900 ,245,9873,42,20,15,136,29,30,184,17
FORMATIVO MEDIO,1000 to 900 ,489,10053,68,23,17,189,4,53,204,44
FORMATIVO MEDIO,1000 to 900 ,615,11050,44,17,11,136,145,26,160,14
FORMATIVO MEDIO,1000 to 900 ,488,11598,49,22,13,147,146,28,157,18
FORMATIVO MEDIO,1000 to 900 ,387,12461,49,26,24,161,32,31,208,22
FORMATIVO MEDIO,1000 to 900 ,358,9261,67,20,20,172,5,54,196,40
FORMATIVO MEDIO,1000 to 900 ,553,9683,51,21,10,127,128,21,138,13
FORMATIVO MEDIO,1000 to 900 ,508,9067,53,25,15,133,80,24,108,13
FORMATIVO MEDIO,1000 to 900 ,305,10537,44,19,17,134,26,32,190,18
FORMATIVO MEDIO,1000 to 900 ,401,10193,61,22,17,176,5,55,217,43
FORMATIVO MEDIO,1000 to 900 ,190,10533,40,19,18,132,27,30,178,18
FORMATIVO MEDIO,1000 to 900 ,409,9459,53,21,11,176,4,49,198,39
FORMATIVO MEDIO,1000 to 900 ,243,9166,74,15,17,162,5,46,192,39
FORMATIVO MEDIO,1000 to 900 ,263,7284,41,14,19,124,15,28,129,16
FORMATIVO MEDIO,1000 to 900 ,419,9939,47,23,23,174,7,52,206,42
FORMATIVO MEDIO,1000 to 900 ,370,8365,42,17,10,129,105,22,124,14
FORMATIVO MEDIO,1000 to 900 ,366,9490,61,21,19,172,5,53,198,45
FORMATIVO MEDIO,1000 to 900 ,463,12720,60,24,15,153,159,28,175,18
FORMATIVO MEDIO,1000 to 900 ,494,10377,83,21,16,183,5,54,221,46
FORMATIVO MEDIO,1000 to 900 ,414,10964,66,23,19,182,6,55,216,44
FORMATIVO MEDIO,1000 to 900 ,444,8721,49,13,11,121,85,20,104,14
FORMATIVO MEDIO,1000 to 900 ,409,9249,47,19,16,158,5,51,194,42
FORMATIVO MEDIO,1000 to 900 ,265,9157,47,26,19,148,21,28,143,19
FORMATIVO MEDIO,1000 to 900 ,358,10473,66,23,17,193,3,52,222,44
FORMATIVO MEDIO,1000 to 900 ,409,9886,45,19,11,127,116,20,146,12
FORMATIVO MEDIO,1000 to 900 ,350,10352,38,21,12,138,138,22,143,15
FORMATIVO MEDIO,1000 to 900 ,403,9518,50,22,17,166,4,54,202,43
FORMATIVO MEDIO,1000 to 900 ,402,9927,79,24,18,186,6,49,211,42
FORMATIVO MEDIO,1000 to 900 ,451,10107,71,23,18,180,6,50,217,44
FORMATIVO MEDIO,1000 to 900 ,513,9830,42,21,12,131,120,22,137,15
FORMATIVO MEDIO,1000 to 900 ,455,10653,52,18,11,142,144,22,147,15
FORMATIVO MEDIO,1000 to 900 ,393,10047,66,22,17,171,5,52,217,49
FORMATIVO MEDIO,1000 to 900 ,530,10238,37,17,13,124,131,24,144,13
FORMATIVO MEDIO,1000 to 900 ,407,9924,60,23,17,178,4,49,209,44
FORMATIVO MEDIO,1000 to 900 ,673,5576,47,17,7,104,69,18,80,13
FORMATIVO MEDIO,1000 to 900 ,794,5229,38,22,6,123,37,16,75,12
FORMATIVO MEDIO,1000 to 900 ,356,9537,39,22,19,150,19,33,144,22
FORMATIVO MEDIO,1000 to 900 ,499,11468,81,26,21,206,5,62,226,48
