Year AD,Sr
120,122
130,6
140,8
150,4
160,3
170,7
180,4
190,32
200,27
210,2
220,28
230,30
240,3
250,29
260,7
270,5
280,4
290,135
300,6
310,30
320,6
330,26
340,118
350,3
360,22
370,3
380,6
390,5
400,6
410,5
420,28
430,32
440,8
450,6
460,6
470,7
480,6
490,120
500,25
510,6
520,8
530,33
540,36
550,33
560,42
570,32
580,27
590,149
600,32
610,36
620,39
630,38
640,27
650,4
660,4
670,1
680,9
690,6
700,4
710,8
720,6
730,134
740,22
750,3
760,2
770,6
780,24
790,1
800,23
810,26
820,23
830,107
840,5
850,6
860,4
870,34
880,33
890,29
900,129
910,21
920,22
930,6
940,5
950,29
960,3
970,4
980,4
990,4
1000,6
1010,133
1020,5
1030,28
1040,4
1050,5
1060,5
1070,13
1080,3
1090,147
1100,121
1110,117
1120,106
1130,25
1140,118
1150,118
1160,118
1170,125
1180,110
1190,129
1200,6
1200,3
1210,3
1220,1
1230,2
1240,2
1250,4
1260,137
1270,1
1280,5
1290,4
1300,1
1310,4
1320,5
1330,2
1340,5
1350,4
1360,5
1370,2
1380,4
1390,6
1400,6
1410,3
1420,4
1430,29
1440,1
1450,4
1460,4
1470,4
1480,4
1490,3
1500,4
1510,29
1520,26
